Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
14F6P52-3933,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-3,F6-2_air_push.pdf,14F6P52-3933.stp
14F6P52-393H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-3,F6-2_conv_push.pdf,14F6P52-393H.stp
14F6P52-3941,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-4,F6-2_air_panel.pdf,14F6P52-3941.stp
14F6P52-3943,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-4,F6-2_air_push.pdf,14F6P52-3943.stp
14F6P52-394H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-4,F6-2_conv_push.pdf,14F6P52-394H.stp
14F6P52-3951,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-5,F6-2_air_panel.pdf,14F6P52-3951.stp
14F6P52-3953,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-5,F6-2_air_push.pdf,14F6P52-3953.stp
14F6P52-395H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,P5-5,F6-2_conv_push.pdf,14F6P52-395H.stp
15F6A12-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,A1,F6-2_air_panel.pdf,15F6A12-3511.stp
15F6A12-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,A1,F6-2_air_push.pdf,15F6A12-3513.stp
15F6A32-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,A3,F6-2_air_panel.pdf,15F6A32-3511.stp
15F6A32-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,A3,F6-2_air_push.pdf,15F6A32-3513.stp
15F6K12-3511,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,K1-E,F6-2_air_panel.pdf,15F6K12-3511.stp
15F6K12-3513,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,K1-E,F6-2_air_push.pdf,15F6K12-3513.stp
15F6P52-3531,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,11,15,24,21,43.20,36,180,150,4,16,P5-3,F6-2_air_panel.pdf,15F6P52-3531.stp
