Part Number,Type,Size,Housing,Cooling,Mounting,SubResistors,Voltage,EMI,GTR7,Power_KVA,Power_KW,Power_HP,Irated_IEC_Amps,Irated_UL_Amps,I_OL_Amps,I_OC_Amps,OL2_2kHz_A,OL2_4kHz_A,OL2_8kHz_A,OL2_12kHz_A,OL2_16kHz_A,I_OC_%,I_OL_%,OL2_2kHz_%,OL2_4kHz_%,OL2_8kHz_%,OL2_12kHz_%,OL2_16kHz_%,Rated_kHz,Max_kHz,BaseBlockTime_ms
24F6P56-3411,F6,24,6,air,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3431,F6,24,6,air,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3432,F6,24,6,water,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3433,F6,24,6,air,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3434,F6,24,6,water,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3436,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3439,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3441,F6,24,6,air,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3442,F6,24,6,water,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3443,F6,24,6,air,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3444,F6,24,6,water,push-through,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3446,F6,24,6,water,push-through,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3449,F6,24,6,water,panel,integrated,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3451,F6,24,6,air,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
24F6P56-3452,F6,24,6,water,panel,none,400V 3ph,none,std,125,90,125,180,156,270,324,278.406,218.394,142.794,92.394,62.406,180,150,154.67,121.33,79.33,51.33,34.67,2,16,3000
